GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.apache.commons.lang3.text.translate,UnicodeUnescaper,145,0,22,0,25,0,14,0,3,0
JaCoCo Coverage Report,org.apache.commons.lang3.text.translate,OctalUnescaper,67,3,12,0,12,1,8,1,2,1
JaCoCo Coverage Report,org.apache.commons.lang3.text.translate,AggregateTranslator,37,0,4,0,8,0,4,0,2,0
JaCoCo Coverage Report,org.apache.commons.lang3.text.translate,CharSequenceTranslator,41,75,3,11,10,18,5,7,2,3
JaCoCo Coverage Report,org.apache.commons.lang3.text.translate,LookupTranslator,107,0,14,0,25,0,9,0,2,0
JaCoCo Coverage Report,org.apache.commons.lang3.text.translate,CodePointTranslator,18,0,2,0,6,0,3,0,2,0
JaCoCo Coverage Report,org.apache.commons.lang3.text.translate,NumericEntityEscaper,76,0,10,0,20,0,12,0,7,0
JaCoCo Coverage Report,org.apache.commons.lang3.text.translate,UnicodeEscaper,136,0,18,0,26,0,16,0,7,0
JaCoCo Coverage Report,org.apache.commons.lang3.text.translate,UnicodeUnescaper.OPTION,14,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,org.apache.commons.lang3.text.translate,EntityArrays,3450,0,2,0,26,0,14,0,13,0
JaCoCo Coverage Report,org.apache.commons.lang3.text.translate,NumericEntityUnescaper,29,153,4,34,5,27,4,17,0,2
JaCoCo Coverage Report,org.apache.commons.lang3,LocaleUtils,373,0,64,0,73,0,42,0,10,0
JaCoCo Coverage Report,org.apache.commons.lang3,EnumUtils,64,0,6,0,18,0,8,0,5,0
JaCoCo Coverage Report,org.apache.commons.lang3,StringEscapeUtils.CsvEscaper,66,0,4,0,11,0,5,0,3,0
JaCoCo Coverage Report,org.apache.commons.lang3,CharSet,301,0,34,0,60,0,26,0,9,0
JaCoCo Coverage Report,org.apache.commons.lang3,RandomStringUtils,245,0,48,0,53,0,37,0,13,0
JaCoCo Coverage Report,org.apache.commons.lang3,Range,382,0,70,0,84,0,58,0,23,0
JaCoCo Coverage Report,org.apache.commons.lang3,AnnotationUtils.new ToStringStyle() {...},83,0,8,0,25,0,7,0,3,0
JaCoCo Coverage Report,org.apache.commons.lang3,BitField,150,0,14,0,27,0,25,0,18,0
JaCoCo Coverage Report,org.apache.commons.lang3,CharUtils,321,0,76,0,62,0,62,0,24,0
JaCoCo Coverage Report,org.apache.commons.lang3,CharRange,241,0,50,0,44,0,39,0,14,0
