bug_id,classes_modified
2,"org.jfree.data.general.DatasetUtilities"
3,"org.jfree.data.time.TimeSeries"
4,"org.jfree.chart.plot.XYPlot"
5,"org.jfree.data.xy.XYSeries"
6,"org.jfree.chart.util.ShapeList"
7,"org.jfree.data.time.TimePeriodValues"
8,"org.jfree.data.time.Week"
9,"org.jfree.data.time.TimeSeries"
10,"org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator"
11,"org.jfree.chart.util.ShapeUtilities"
12,"org.jfree.chart.plot.MultiplePiePlot"
13,"org.jfree.chart.block.BorderArrangement"
14,"org.jfree.chart.plot.CategoryPlot;org.jfree.chart.plot.XYPlot"
15,"org.jfree.chart.plot.PiePlot"
16,"org.jfree.data.category.DefaultIntervalCategoryDataset"
17,"org.jfree.data.time.TimeSeries"
18,"org.jfree.data.DefaultKeyedValues;org.jfree.data.DefaultKeyedValues2D"
19,"org.jfree.chart.plot.CategoryPlot"
20,"org.jfree.chart.plot.ValueMarker"
21,"org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset"
22,"org.jfree.data.KeyedObjects2D"
23,"org.jfree.chart.renderer.category.MinMaxCategoryRenderer"
24,"org.jfree.chart.renderer.GrayPaintScale"
25,"org.jfree.chart.renderer.category.StatisticalBarRenderer"
26,"org.jfree.chart.axis.Axis"
