bug_id,classes_modified
2,"org.apache.commons.cli.PosixParser"
3,"org.apache.commons.cli.TypeHandler"
4,"org.apache.commons.cli.Parser"
5,"org.apache.commons.cli.Util"
7,"org.apache.commons.cli2.builder.PatternBuilder"
8,"org.apache.commons.cli.HelpFormatter"
9,"org.apache.commons.cli.Parser"
10,"org.apache.commons.cli.Parser"
11,"org.apache.commons.cli.HelpFormatter"
12,"org.apache.commons.cli.GnuParser"
13,"org.apache.commons.cli2.WriteableCommandLine;org.apache.commons.cli2.commandline.WriteableCommandLineImpl;org.apache.commons.cli2.option.ArgumentImpl"
14,"org.apache.commons.cli2.option.GroupImpl"
15,"org.apache.commons.cli2.commandline.WriteableCommandLineImpl"
16,"org.apache.commons.cli2.Option;org.apache.commons.cli2.commandline.WriteableCommandLineImpl;org.apache.commons.cli2.option.GroupImpl;org.apache.commons.cli2.option.OptionImpl"
17,"org.apache.commons.cli.PosixParser"
18,"org.apache.commons.cli.PosixParser"
19,"org.apache.commons.cli.PosixParser"
20,"org.apache.commons.cli.PosixParser"
21,"org.apache.commons.cli2.WriteableCommandLine;org.apache.commons.cli2.commandline.WriteableCommandLineImpl;org.apache.commons.cli2.option.GroupImpl"
22,"org.apache.commons.cli.PosixParser"
23,"org.apache.commons.cli.HelpFormatter"
24,"org.apache.commons.cli.HelpFormatter"
25,"org.apache.commons.cli.HelpFormatter"
26,"org.apache.commons.cli.OptionBuilder"
27,"org.apache.commons.cli.OptionGroup"
28,"org.apache.commons.cli.Parser"
29,"org.apache.commons.cli.Util"
30,"org.apache.commons.cli.DefaultParser;org.apache.commons.cli.Parser"
31,"org.apache.commons.cli.HelpFormatter;org.apache.commons.cli.Option;org.apache.commons.cli.OptionBuilder"
32,"org.apache.commons.cli.HelpFormatter"
33,"org.apache.commons.cli.HelpFormatter"
34,"org.apache.commons.cli.Option;org.apache.commons.cli.OptionBuilder"
35,"org.apache.commons.cli.Options"
36,"org.apache.commons.cli.OptionGroup;org.apache.commons.cli.Options"
37,"org.apache.commons.cli.DefaultParser"
38,"org.apache.commons.cli.DefaultParser"
39,"org.apache.commons.cli.TypeHandler"
40,"org.apache.commons.cli.TypeHandler"
