bug_id,classes_modified
2,"com.google.javascript.jscomp.TypeCheck"
3,"com.google.javascript.jscomp.FlowSensitiveInlineVariables"
4,"com.google.javascript.rhino.jstype.NamedType"
5,"com.google.javascript.jscomp.InlineObjectLiterals"
6,"com.google.javascript.jscomp.TypeValidator"
7,"com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter"
8,"com.google.javascript.jscomp.CollapseVariableDeclarations"
9,"com.google.javascript.jscomp.ProcessCommonJSModules"
10,"com.google.javascript.jscomp.NodeUtil"
11,"com.google.javascript.jscomp.TypeCheck"
12,"com.google.javascript.jscomp.MaybeReachingVariableUse"
13,"com.google.javascript.jscomp.PeepholeOptimizationsPass"
14,"com.google.javascript.jscomp.ControlFlowAnalysis"
15,"com.google.javascript.jscomp.FlowSensitiveInlineVariables"
16,"com.google.javascript.jscomp.ScopedAliases"
17,"com.google.javascript.jscomp.TypedScopeCreator"
18,"com.google.javascript.jscomp.Compiler"
19,"com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter"
20,"com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax"
21,"com.google.javascript.jscomp.CheckSideEffects"
22,"com.google.javascript.jscomp.CheckSideEffects"
23,"com.google.javascript.jscomp.PeepholeFoldConstants"
24,"com.google.javascript.jscomp.ScopedAliases"
25,"com.google.javascript.jscomp.TypeInference"
26,"com.google.javascript.jscomp.ProcessCommonJSModules"
27,"com.google.javascript.rhino.IR"
28,"com.google.javascript.jscomp.InlineCostEstimator"
29,"com.google.javascript.jscomp.InlineObjectLiterals"
30,"com.google.javascript.jscomp.FlowSensitiveInlineVariables;com.google.javascript.jscomp.MustBeReachingVariableDef"
31,"com.google.javascript.jscomp.Compiler"
32,"com.google.javascript.jscomp.parsing.JsDocInfoParser"
33,"com.google.javascript.rhino.jstype.PrototypeObjectType"
34,"com.google.javascript.jscomp.CodeGenerator;com.google.javascript.jscomp.CodePrinter"
35,"com.google.javascript.jscomp.TypeInference"
36,"com.google.javascript.jscomp.InlineVariables"
37,"com.google.javascript.jscomp.NodeTraversal;com.google.javascript.jscomp.parsing.IRFactory"
38,"com.google.javascript.jscomp.CodeConsumer"
39,"com.google.javascript.rhino.jstype.PrototypeObjectType"
40,"com.google.javascript.jscomp.NameAnalyzer"
41,"com.google.javascript.jscomp.FunctionTypeBuilder"
42,"com.google.javascript.jscomp.parsing.IRFactory"
43,"com.google.javascript.jscomp.TypedScopeCreator"
44,"com.google.javascript.jscomp.CodeConsumer"
45,"com.google.javascript.jscomp.RemoveUnusedVars"
46,"com.google.javascript.rhino.jstype.RecordType"
47,"com.google.debugging.sourcemap.SourceMapConsumerV3;com.google.javascript.jscomp.SourceMap"
48,"com.google.javascript.jscomp.TypedScopeCreator"
49,"com.google.javascript.jscomp.MakeDeclaredNamesUnique"
50,"com.google.javascript.jscomp.PeepholeReplaceKnownMethods"
51,"com.google.javascript.jscomp.CodeConsumer"
52,"com.google.javascript.jscomp.CodeGenerator"
53,"com.google.javascript.jscomp.InlineObjectLiterals"
54,"com.google.javascript.jscomp.TypedScopeCreator;com.google.javascript.rhino.jstype.FunctionType"
55,"com.google.javascript.jscomp.FunctionRewriter"
56,"com.google.javascript.jscomp.SourceFile"
57,"com.google.javascript.jscomp.ClosureCodingConvention"
58,"com.google.javascript.jscomp.LiveVariablesAnalysis"
59,"com.google.javascript.jscomp.Compiler"
60,"com.google.javascript.jscomp.NodeUtil"
61,"com.google.javascript.jscomp.NodeUtil"
62,"com.google.javascript.jscomp.LightweightMessageFormatter"
64,"com.google.javascript.jscomp.Compiler"
65,"com.google.javascript.jscomp.CodeGenerator"
66,"com.google.javascript.jscomp.TypeCheck"
67,"com.google.javascript.jscomp.AnalyzePrototypeProperties"
68,"com.google.javascript.jscomp.parsing.JsDocInfoParser"
69,"com.google.javascript.jscomp.TypeCheck"
70,"com.google.javascript.jscomp.TypedScopeCreator"
71,"com.google.javascript.jscomp.CheckAccessControls"
