bug_id,classes_modified
2,"org.apache.commons.codec.binary.Base64"
3,"org.apache.commons.codec.language.DoubleMetaphone"
4,"org.apache.commons.codec.binary.Base64"
5,"org.apache.commons.codec.binary.Base64"
6,"org.apache.commons.codec.binary.Base64InputStream"
7,"org.apache.commons.codec.binary.Base64"
8,"org.apache.commons.codec.binary.Base64;org.apache.commons.codec.binary.Base64InputStream"
9,"org.apache.commons.codec.binary.Base64"
10,"org.apache.commons.codec.language.Caverphone"
11,"org.apache.commons.codec.net.QuotedPrintableCodec"
12,"org.apache.commons.codec.binary.BaseNCodecInputStream"
13,"org.apache.commons.codec.binary.CharSequenceUtils;org.apache.commons.codec.binary.StringUtils;org.apache.commons.codec.language.DoubleMetaphone"
14,"org.apache.commons.codec.language.bm.Lang;org.apache.commons.codec.language.bm.PhoneticEngine;org.apache.commons.codec.language.bm.Rule;src.main.resources.org.apache.commons.codec.language.bm.ash_lang.txt;src.main.resources.org.apache.commons.codec.language.bm.gen_lang.txt;src.main.resources.org.apache.commons.codec.language.bm.sep_lang.txt"
15,"org.apache.commons.codec.language.Soundex"
16,"org.apache.commons.codec.binary.Base32"
17,"org.apache.commons.codec.binary.StringUtils"
18,"org.apache.commons.codec.binary.StringUtils"
