bug_id,classes_modified
2,"org.apache.commons.collections.ExtendedProperties"
3,"org.apache.commons.collections.CollectionUtils"
4,"org.apache.commons.collections.map.MultiValueMap"
5,"org.apache.commons.collections.list.SetUniqueList"
6,"org.apache.commons.collections.map.Flat3Map"
7,"org.apache.commons.collections.ExtendedProperties"
8,"org.apache.commons.collections.buffer.UnboundedFifoBuffer"
9,"org.apache.commons.collections.ExtendedProperties"
10,"org.apache.commons.collections.map.MultiValueMap"
11,"org.apache.commons.collections.keyvalue.MultiKey"
12,"org.apache.commons.collections.ExtendedProperties"
13,"org.apache.commons.collections.ExtendedProperties"
14,"org.apache.commons.collections.map.CaseInsensitiveMap"
15,"org.apache.commons.collections.list.SetUniqueList"
16,"org.apache.commons.collections.list.SetUniqueList"
17,"org.apache.commons.collections.functors.EqualPredicate"
18,"org.apache.commons.collections.set.ListOrderedSet"
19,"org.apache.commons.collections.list.SetUniqueList"
20,"org.apache.commons.collections.list.TreeList"
21,"org.apache.commons.collections4.list.SetUniqueList"
22,"org.apache.commons.collections4.map.ListOrderedMap"
23,"org.apache.commons.collections4.trie.UnmodifiableTrie"
24,"org.apache.commons.collections4.collection.UnmodifiableBoundedCollection"
25,"org.apache.commons.collections4.IteratorUtils"
26,"org.apache.commons.collections4.keyvalue.MultiKey"
27,"org.apache.commons.collections4.map.MultiValueMap"
28,"org.apache.commons.collections4.trie.AbstractPatriciaTrie"
