bug_id,classes_modified
2,"org.apache.commons.compress.archivers.ar.ArArchiveInputStream"
3,"org.apache.commons.compress.archivers.tar.TarArchiveOutputStream"
4,"org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream;org.apache.commons.compress.archivers.tar.TarArchiveOutputStream;org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream;org.apache.commons.compress.changes.ChangeSetPerformer"
5,"org.apache.commons.compress.archivers.zip.ZipArchiveInputStream"
6,"org.apache.commons.compress.archivers.zip.ZipArchiveEntry"
7,"org.apache.commons.compress.archivers.tar.TarUtils"
8,"org.apache.commons.compress.archivers.tar.TarUtils"
9,"org.apache.commons.compress.archivers.tar.TarArchiveOutputStream"
10,"org.apache.commons.compress.archivers.zip.ZipFile"
11,"org.apache.commons.compress.archivers.ArchiveStreamFactory"
12,"org.apache.commons.compress.archivers.tar.TarArchiveInputStream"
13,"org.apache.commons.compress.archivers.zip.ZipArchiveEntry"
14,"org.apache.commons.compress.archivers.tar.TarUtils"
15,"org.apache.commons.compress.archivers.zip.ZipArchiveEntry"
16,"org.apache.commons.compress.archivers.ArchiveStreamFactory"
17,"org.apache.commons.compress.archivers.tar.TarUtils"
18,"org.apache.commons.compress.archivers.tar.TarArchiveOutputStream"
19,"org.apache.commons.compress.archivers.zip.Zip64ExtendedInformationExtraField"
20,"org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream"
21,"org.apache.commons.compress.archivers.sevenz.SevenZOutputFile"
22,"org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream"
23,"org.apache.commons.compress.archivers.sevenz.Coders"
24,"org.apache.commons.compress.archivers.tar.TarUtils"
25,"org.apache.commons.compress.archivers.zip.ZipArchiveInputStream"
26,"org.apache.commons.compress.utils.IOUtils"
27,"org.apache.commons.compress.archivers.tar.TarUtils"
28,"org.apache.commons.compress.archivers.tar.TarArchiveInputStream"
29,"org.apache.commons.compress.archivers.ArchiveStreamFactory;org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream;org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream;org.apache.commons.compress.archivers.dump.DumpArchiveInputStream;org.apache.commons.compress.archivers.tar.TarArchiveInputStream;org.apache.commons.compress.archivers.tar.TarArchiveOutputStream;org.apache.commons.compress.archivers.zip.ZipArchiveInputStream"
30,"org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream"
31,"org.apache.commons.compress.archivers.tar.TarUtils"
32,"org.apache.commons.compress.archivers.tar.TarArchiveInputStream"
33,"org.apache.commons.compress.compressors.CompressorStreamFactory;org.apache.commons.compress.compressors.deflate.DeflateCompressorInputStream"
34,"org.apache.commons.compress.archivers.zip.X7875_NewUnix"
35,"org.apache.commons.compress.archivers.tar.TarUtils"
36,"org.apache.commons.compress.archivers.sevenz.SevenZFile"
37,"org.apache.commons.compress.archivers.tar.TarArchiveInputStream"
38,"org.apache.commons.compress.archivers.tar.TarArchiveEntry"
39,"org.apache.commons.compress.utils.ArchiveUtils"
40,"org.apache.commons.compress.utils.BitInputStream"
41,"org.apache.commons.compress.archivers.zip.ZipArchiveInputStream"
42,"org.apache.commons.compress.archivers.zip.UnixStat;org.apache.commons.compress.archivers.zip.ZipArchiveEntry"
43,"org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream"
44,"org.apache.commons.compress.utils.ChecksumCalculatingInputStream"
45,"org.apache.commons.compress.archivers.tar.TarUtils"
46,"org.apache.commons.compress.archivers.zip.X5455_ExtendedTimestamp"
47,"org.apache.commons.compress.archivers.zip.ZipArchiveInputStream"
