bug_id,classes_modified
2,"org.apache.commons.csv.CSVRecord"
3,"org.apache.commons.csv.Lexer"
4,"org.apache.commons.csv.CSVParser"
5,"org.apache.commons.csv.CSVPrinter"
6,"org.apache.commons.csv.CSVRecord"
7,"org.apache.commons.csv.CSVParser"
8,"org.apache.commons.csv.CSVFormat"
9,"org.apache.commons.csv.CSVRecord"
10,"org.apache.commons.csv.CSVPrinter"
11,"org.apache.commons.csv.CSVParser"
12,"org.apache.commons.csv.CSVFormat"
13,"org.apache.commons.csv.CSVFormat;org.apache.commons.csv.CSVPrinter"
14,"org.apache.commons.csv.CSVFormat"
15,"org.apache.commons.csv.CSVFormat"
16,"org.apache.commons.csv.CSVParser"
