bug_id,classes_modified
2,"com.google.gson.internal.bind.TypeAdapters"
3,"com.google.gson.internal.ConstructorConstructor"
4,"com.google.gson.stream.JsonReader;com.google.gson.stream.JsonWriter"
5,"com.google.gson.internal.bind.util.ISO8601Utils"
6,"com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory"
7,"com.google.gson.stream.JsonReader"
8,"com.google.gson.internal.UnsafeAllocator"
9,"com.google.gson.internal.bind.JsonTreeWriter;com.google.gson.internal.bind.TypeAdapters;com.google.gson.stream.JsonWriter"
10,"com.google.gson.internal.bind.ReflectiveTypeAdapterFactory"
11,"com.google.gson.internal.bind.TypeAdapters"
12,"com.google.gson.internal.bind.JsonTreeReader"
13,"com.google.gson.stream.JsonReader"
14,"com.google.gson.internal.$Gson$Types"
15,"com.google.gson.stream.JsonWriter"
16,"com.google.gson.internal.$Gson$Types"
17,"com.google.gson.DefaultDateTypeAdapter"
18,"com.google.gson.internal.$Gson$Types"
