bug_id,classes_modified
2,"com.fasterxml.jackson.core.json.ReaderBasedJsonParser;com.fasterxml.jackson.core.json.UTF8StreamJsonParser"
3,"com.fasterxml.jackson.core.json.UTF8StreamJsonParser"
4,"com.fasterxml.jackson.core.util.TextBuffer"
5,"com.fasterxml.jackson.core.JsonPointer"
6,"com.fasterxml.jackson.core.JsonPointer"
7,"com.fasterxml.jackson.core.json.JsonWriteContext"
8,"com.fasterxml.jackson.core.util.TextBuffer"
9,"com.fasterxml.jackson.core.base.ParserMinimalBase;com.fasterxml.jackson.core.json.ReaderBasedJsonParser;com.fasterxml.jackson.core.json.UTF8StreamJsonParser"
10,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer"
11,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer"
12,"com.fasterxml.jackson.core.json.ReaderBasedJsonParser;com.fasterxml.jackson.core.json.UTF8StreamJsonParser"
13,"com.fasterxml.jackson.core.json.JsonGeneratorImpl"
14,"com.fasterxml.jackson.core.io.IOContext"
15,"com.fasterxml.jackson.core.filter.FilteringParserDelegate"
16,"com.fasterxml.jackson.core.util.JsonParserSequence"
17,"com.fasterxml.jackson.core.json.UTF8JsonGenerator"
18,"com.fasterxml.jackson.core.base.GeneratorBase;com.fasterxml.jackson.core.json.UTF8JsonGenerator;com.fasterxml.jackson.core.json.WriterBasedJsonGenerator"
19,"com.fasterxml.jackson.core.json.ReaderBasedJsonParser;com.fasterxml.jackson.core.json.UTF8StreamJsonParser"
20,"com.fasterxml.jackson.core.JsonGenerator"
21,"com.fasterxml.jackson.core.filter.FilteringParserDelegate"
22,"com.fasterxml.jackson.core.filter.FilteringParserDelegate"
23,"com.fasterxml.jackson.core.util.DefaultPrettyPrinter"
24,"com.fasterxml.jackson.core.base.ParserBase;com.fasterxml.jackson.core.base.ParserMinimalBase"
25,"com.fasterxml.jackson.core.json.ReaderBasedJsonParser"
26,"com.fasterxml.jackson.core.json.async.NonBlockingJsonParser"
