bug_id,classes_modified
2,"com.fasterxml.jackson.databind.util.TokenBuffer"
3,"com.fasterxml.jackson.databind.deser.std.StringArrayDeserializer"
4,"com.fasterxml.jackson.databind.deser.std.StringArrayDeserializer"
5,"com.fasterxml.jackson.databind.introspect.AnnotatedClass"
6,"com.fasterxml.jackson.databind.util.StdDateFormat"
7,"com.fasterxml.jackson.databind.util.TokenBuffer"
8,"com.fasterxml.jackson.databind.deser.impl.CreatorCollector"
9,"com.fasterxml.jackson.databind.ser.std.StdKeySerializer"
10,"com.fasterxml.jackson.databind.ser.AnyGetterWriter;com.fasterxml.jackson.databind.ser.BeanSerializerFactory"
11,"com.fasterxml.jackson.databind.type.TypeFactory"
12,"com.fasterxml.jackson.databind.deser.std.MapDeserializer"
13,"com.fasterxml.jackson.databind.deser.DefaultDeserializationContext;com.fasterxml.jackson.databind.deser.impl.ObjectIdValueProperty"
14,"com.fasterxml.jackson.databind.ObjectReader"
15,"com.fasterxml.jackson.databind.JavaType;com.fasterxml.jackson.databind.ser.BeanSerializerFactory;com.fasterxml.jackson.databind.ser.std.BeanSerializerBase;com.fasterxml.jackson.databind.ser.std.StdDelegatingSerializer;com.fasterxml.jackson.databind.ser.std.StdSerializer"
16,"com.fasterxml.jackson.databind.introspect.AnnotationMap"
17,"com.fasterxml.jackson.databind.ObjectMapper"
18,"com.fasterxml.jackson.databind.MappingIterator"
19,"com.fasterxml.jackson.databind.type.TypeFactory"
20,"com.fasterxml.jackson.databind.node.ObjectNode"
21,"com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector"
22,"com.fasterxml.jackson.databind.ser.BasicSerializerFactory;com.fasterxml.jackson.databind.ser.BeanSerializerFactory"
23,"com.fasterxml.jackson.databind.ser.std.NumberSerializers"
24,"com.fasterxml.jackson.databind.cfg.BaseSettings"
25,"com.fasterxml.jackson.databind.deser.BasicDeserializerFactory;com.fasterxml.jackson.databind.deser.DeserializerCache;com.fasterxml.jackson.databind.jsontype.impl.TypeDeserializerBase;com.fasterxml.jackson.databind.module.SimpleAbstractTypeResolver"
26,"com.fasterxml.jackson.databind.ser.BeanPropertyWriter"
27,"com.fasterxml.jackson.databind.deser.BeanDeserializer"
28,"com.fasterxml.jackson.databind.deser.std.JsonNodeDeserializer"
29,"com.fasterxml.jackson.databind.deser.impl.ExternalTypeHandler"
