bug_id,classes_modified
2,"org.jsoup.parser.Parser"
3,"org.jsoup.nodes.Element;org.jsoup.parser.Parser;org.jsoup.parser.Tag"
4,"org.jsoup.nodes.Entities"
5,"org.jsoup.parser.Parser"
6,"org.jsoup.nodes.Entities"
7,"org.jsoup.nodes.Document"
8,"org.jsoup.nodes.Node"
9,"org.jsoup.nodes.Entities"
10,"org.jsoup.nodes.Node"
11,"org.jsoup.select.Selector"
12,"org.jsoup.select.Selector"
13,"org.jsoup.nodes.Node"
14,"org.jsoup.parser.Tokeniser;org.jsoup.parser.TokeniserState"
15,"org.jsoup.parser.TreeBuilderState"
16,"org.jsoup.nodes.DocumentType"
17,"org.jsoup.parser.TreeBuilderState"
18,"org.jsoup.parser.CharacterReader"
19,"org.jsoup.safety.Whitelist"
20,"org.jsoup.helper.DataUtil"
21,"org.jsoup.select.CombiningEvaluator;org.jsoup.select.QueryParser"
22,"org.jsoup.nodes.Element;org.jsoup.nodes.Node;org.jsoup.select.Elements"
23,"org.jsoup.parser.CharacterReader;org.jsoup.parser.Tokeniser"
24,"org.jsoup.parser.TokeniserState"
25,"org.jsoup.parser.Tag"
26,"org.jsoup.safety.Cleaner"
27,"org.jsoup.helper.DataUtil"
28,"org.jsoup.nodes.Entities;org.jsoup.parser.Parser;org.jsoup.parser.Tokeniser"
29,"org.jsoup.nodes.Document"
30,"org.jsoup.safety.Cleaner"
31,"org.jsoup.parser.Token;org.jsoup.parser.TokeniserState;org.jsoup.parser.XmlTreeBuilder"
32,"org.jsoup.nodes.Element"
33,"org.jsoup.parser.HtmlTreeBuilder"
34,"org.jsoup.parser.CharacterReader"
35,"org.jsoup.parser.HtmlTreeBuilderState"
36,"org.jsoup.helper.DataUtil"
37,"org.jsoup.nodes.Element"
38,"org.jsoup.parser.HtmlTreeBuilderState"
39,"org.jsoup.helper.DataUtil"
40,"org.jsoup.nodes.DocumentType"
41,"org.jsoup.nodes.Element"
42,"org.jsoup.nodes.FormElement"
43,"org.jsoup.nodes.Element"
44,"org.jsoup.parser.TreeBuilder"
45,"org.jsoup.parser.HtmlTreeBuilder"
46,"org.jsoup.nodes.Entities"
47,"org.jsoup.nodes.Entities"
48,"org.jsoup.helper.HttpConnection"
49,"org.jsoup.nodes.Node"
50,"org.jsoup.helper.DataUtil"
51,"org.jsoup.parser.CharacterReader"
52,"org.jsoup.helper.DataUtil;org.jsoup.nodes.XmlDeclaration;org.jsoup.parser.XmlTreeBuilder"
53,"org.jsoup.parser.TokenQueue"
54,"org.jsoup.helper.W3CDom"
55,"org.jsoup.parser.TokeniserState"
56,"org.jsoup.nodes.DocumentType;org.jsoup.parser.HtmlTreeBuilderState;org.jsoup.parser.Token;org.jsoup.parser.TokeniserState;org.jsoup.parser.XmlTreeBuilder"
57,"org.jsoup.nodes.Attributes"
58,"org.jsoup.Jsoup;org.jsoup.parser.Parser;org.jsoup.safety.Cleaner"
59,"org.jsoup.parser.Token"
60,"org.jsoup.parser.TokenQueue;org.jsoup.select.QueryParser"
61,"org.jsoup.nodes.Element"
62,"org.jsoup.parser.HtmlTreeBuilderState"
63,"org.jsoup.parser.HtmlTreeBuilder;org.jsoup.parser.Tokeniser"
64,"org.jsoup.parser.HtmlTreeBuilderState"
65,"org.jsoup.parser.HtmlTreeBuilder;org.jsoup.parser.HtmlTreeBuilderState"
66,"org.jsoup.nodes.Element"
67,"org.jsoup.parser.HtmlTreeBuilder"
68,"org.jsoup.parser.HtmlTreeBuilder"
69,"org.jsoup.nodes.FormElement"
70,"org.jsoup.nodes.Element"
71,"org.jsoup.nodes.PseudoTextElement;org.jsoup.select.Evaluator;org.jsoup.select.QueryParser"
72,"org.jsoup.parser.CharacterReader"
73,"org.jsoup.helper.W3CDom"
74,"org.jsoup.helper.StringUtil"
75,"org.jsoup.nodes.Attributes"
76,"org.jsoup.parser.HtmlTreeBuilderState"
77,"org.jsoup.parser.XmlTreeBuilder"
78,"org.jsoup.helper.DataUtil"
79,"org.jsoup.nodes.LeafNode"
80,"org.jsoup.parser.XmlTreeBuilder"
81,"org.jsoup.helper.DataUtil"
82,"org.jsoup.helper.DataUtil"
83,"org.jsoup.parser.CharacterReader;org.jsoup.parser.TokeniserState"
84,"org.jsoup.helper.W3CDom"
85,"org.jsoup.nodes.Attribute"
86,"org.jsoup.nodes.Comment"
87,"org.jsoup.nodes.Element;org.jsoup.parser.HtmlTreeBuilder;org.jsoup.parser.HtmlTreeBuilderState;org.jsoup.parser.Tag"
88,"org.jsoup.nodes.Attribute"
89,"org.jsoup.nodes.Attribute"
90,"org.jsoup.helper.HttpConnection"
91,"org.jsoup.UncheckedIOException;org.jsoup.parser.CharacterReader"
92,"org.jsoup.nodes.Attributes;org.jsoup.parser.HtmlTreeBuilder;org.jsoup.parser.ParseSettings;org.jsoup.parser.Token;org.jsoup.parser.XmlTreeBuilder"
93,"org.jsoup.nodes.FormElement"
