bug_id,classes_modified
2,"org.apache.commons.jxpath.ri.compiler.Expression"
3,"org.apache.commons.jxpath.ri.model.beans.NullPropertyPointer"
4,"org.apache.commons.jxpath.ri.model.dom.DOMNodePointer;org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer"
5,"org.apache.commons.jxpath.ri.model.NodePointer"
6,"org.apache.commons.jxpath.ri.compiler.CoreOperationCompare"
7,"org.apache.commons.jxpath.ri.compiler.CoreOperationGreaterThan;org.apache.commons.jxpath.ri.compiler.CoreOperationGreaterThanOrEqual;org.apache.commons.jxpath.ri.compiler.CoreOperationLessThan;org.apache.commons.jxpath.ri.compiler.CoreOperationLessThanOrEqual;org.apache.commons.jxpath.ri.compiler.CoreOperationRelationalExpression"
8,"org.apache.commons.jxpath.ri.compiler.CoreOperationRelationalExpression"
9,"org.apache.commons.jxpath.ri.compiler.CoreOperationCompare;org.apache.commons.jxpath.ri.compiler.CoreOperationEqual;org.apache.commons.jxpath.ri.compiler.CoreOperationNotEqual"
10,"org.apache.commons.jxpath.ri.compiler.CoreOperationRelationalExpression"
11,"org.apache.commons.jxpath.ri.model.dom.DOMAttributeIterator;org.apache.commons.jxpath.ri.model.jdom.JDOMAttributeIterator"
12,"org.apache.commons.jxpath.ri.model.dom.DOMNodePointer"
13,"org.apache.commons.jxpath.ri.NamespaceResolver;org.apache.commons.jxpath.ri.model.dom.DOMNodePointer"
14,"org.apache.commons.jxpath.ri.compiler.CoreFunction"
15,"org.apache.commons.jxpath.ri.axes.UnionContext"
16,"org.apache.commons.jxpath.ri.model.dom.DOMNodePointer;org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer"
17,"org.apache.commons.jxpath.ri.model.dom.DOMAttributeIterator;org.apache.commons.jxpath.ri.model.jdom.JDOMAttributeIterator"
18,"org.apache.commons.jxpath.ri.axes.AttributeContext"
19,"org.apache.commons.jxpath.ri.model.dom.DOMNodePointer;org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer"
20,"org.apache.commons.jxpath.ri.compiler.CoreOperationRelationalExpression"
21,"org.apache.commons.jxpath.ri.model.beans.PropertyPointer"
22,"org.apache.commons.jxpath.ri.model.dom.DOMNodePointer"
