bug_id,project_id,revision_id_buggy,revision_id_fixed,report_id,classes_modified,tests_trigger,tests_trigger_cause
1,Lang,396afc3e4693cfee182efe582455f2d97058c068,d1a45e9738de5b3e299bb51e987565dcce55fee6,LANG-747,"org.apache.commons.lang3.math.NumberUtils","org.apache.commons.lang3.math.NumberUtilsTest::TestLang747","org.apache.commons.lang3.math.NumberUtilsTest::TestLang747 --> java.lang.NumberFormatException: For input string: 80000000"
3,Lang,64cfee77e333d0c31a0fde0abe6dac3d97b0f078,8a1042959df80c06dbfa83896594caa8e20ff9d6,LANG-693,"org.apache.commons.lang3.math.NumberUtils","org.apache.commons.lang3.math.NumberUtilsTest::testStringCreateNumberEnsureNoPrecisionLoss","org.apache.commons.lang3.math.NumberUtilsTest::testStringCreateNumberEnsureNoPrecisionLoss --> junit.framework.AssertionFailedError"
4,Lang,cd91a4f2cd0ced1178e8fd1f49229196eb88094c,0cdc976684efcf478397b68c1d54cefc87bb92c9,LANG-882,"org.apache.commons.lang3.text.translate.LookupTranslator","org.apache.commons.lang3.text.translate.LookupTranslatorTest::testLang882","org.apache.commons.lang3.text.translate.LookupTranslatorTest::testLang882 --> junit.framework.AssertionFailedError: Incorrect codepoint consumption expected:<3> but was:<0>"
5,Lang,bc255ccf5c239666ab54e5a31720d3f482ae78eb,4d46f014fb8ee44386feb5fec52509f35d0e36ea,LANG-865,"org.apache.commons.lang3.LocaleUtils","org.apache.commons.lang3.LocaleUtilsTest::testLang865","org.apache.commons.lang3.LocaleUtilsTest::testLang865 --> java.lang.IllegalArgumentException: Invalid locale format: _GB"
6,Lang,f5a83bb90cf7b318ac72823e6b99d01d060abe41,52bcd9b8e82d4d1d287b0d75df1e161aff8c65ab,LANG-857,"org.apache.commons.lang3.text.translate.CharSequenceTranslator","org.apache.commons.lang3.StringUtilsTest::testEscapeSurrogatePairs","org.apache.commons.lang3.StringUtilsTest::testEscapeSurrogatePairs --> java.lang.StringIndexOutOfBoundsException: String index out of range: 2"
7,Lang,a7b467a74cbe1160d676dc070a19d19764e132a3,350cf8c2da08ccde6b4d71b19bb3df97256ea368,LANG-822,"org.apache.commons.lang3.math.NumberUtils","org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumber","org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumber --> junit.framework.AssertionFailedError: Expected NumberFormatException"
8,Lang,cfab1e4fa19755d65de7b81206d86f9e98622d8e,04babff3798680e012646988841bcc710a9e3c54,LANG-818,"org.apache.commons.lang3.time.FastDatePrinter","org.apache.commons.lang3.time.FastDateFormat_PrinterTest::testCalendarTimezoneRespected;org.apache.commons.lang3.time.FastDatePrinterTest::testCalendarTimezoneRespected","org.apache.commons.lang3.time.FastDateFormat_PrinterTest::testCalendarTimezoneRespected --> junit.framework.AssertionFailedError: expected:<2:43PM [IC]T> but was:<2:43PM [PS]T>;org.apache.commons.lang3.time.FastDatePrinterTest::testCalendarTimezoneRespected --> junit.framework.AssertionFailedError: expected:<2:43PM [IC]T> but was:<2:43PM [PS]T>"
9,Lang,ad72b9f2bf37bd61af18bde67c1622d90a5d8766,65a6458eaa2e1f88278e4bb5753a68bd825e3a80,LANG-832,"org.apache.commons.lang3.time.FastDateParser","org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLANG_832;org.apache.commons.lang3.time.FastDateParserTest::testLANG_832","org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLANG_832 --> junit.framework.AssertionFailedError: Parsed dates should be equal expected:<null> but was:<Fri Jan 02 21:00:00 PST 1970>;org.apache.commons.lang3.time.FastDateParserTest::testLANG_832 --> junit.framework.AssertionFailedError: Expected FDF failure, but got Fri Jan 02 21:00:00 PST 1970 for ['d'd',d3] using d(\p{IsNd}++)"
10,Lang,192b1e1b6b96da05cb000b2c89b71467cbfaf245,ad72b9f2bf37bd61af18bde67c1622d90a5d8766,LANG-831,"org.apache.commons.lang3.time.FastDateParser","org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLANG_831;org.apache.commons.lang3.time.FastDateParserTest::testLANG_831","org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLANG_831 --> junit.framework.AssertionFailedError: Parsed dates should be equal expected:<null> but was:<Mon Mar 02 21:00:00 PST 1970>;org.apache.commons.lang3.time.FastDateParserTest::testLANG_831 --> junit.framework.AssertionFailedError: Expected FDF failure, but got Mon Mar 02 21:00:00 PST 1970 for [M E,3  Tue] using (\p{IsNd}++)\s*+(Fri|Friday|Mon|Monday|Sat|Saturday|Sun|Sunday|Thu|Thursday|Tue|Tuesday|Wed|Wednesday)"
11,Lang,27bcbcc728434ffb2c45e81c0e75e6a3d6da3441,4a65cb8da23d6667ac6f91775309b4da9b315d95,LANG-807,"org.apache.commons.lang3.RandomStringUtils","org.apache.commons.lang3.RandomStringUtilsTest::testLANG807","org.apache.commons.lang3.RandomStringUtilsTest::testLANG807 --> junit.framework.AssertionFailedError: Message (bound must be positive) must contain 'start'"
12,Lang,1971d3ed8ba303eccc83935e352758ceca9f34d7,27bcbcc728434ffb2c45e81c0e75e6a3d6da3441,LANG-805,"org.apache.commons.lang3.RandomStringUtils","org.apache.commons.lang3.RandomStringUtilsTest::testExceptions;org.apache.commons.lang3.RandomStringUtilsTest::testLANG805","org.apache.commons.lang3.RandomStringUtilsTest::testExceptions --> java.lang.ArrayIndexOutOfBoundsException: 1171399597;org.apache.commons.lang3.RandomStringUtilsTest::testLANG805 --> java.lang.ArrayIndexOutOfBoundsException: 1859709389"
13,Lang,81797ed4402a982f90bd903c7437aeea4e3933f5,e9429c05e1a4797383fb405928088d2f8563ff97,LANG-788,"org.apache.commons.lang3.SerializationUtils","org.apache.commons.lang3.SerializationUtilsTest::testPrimitiveTypeClassSerialization","org.apache.commons.lang3.SerializationUtilsTest::testPrimitiveTypeClassSerialization --> org.apache.commons.lang3.SerializationException: ClassNotFoundException while reading cloned object data"
14,Lang,a31570673477b8d8f4f0f2429002ec219e83369f,dfa6882a3b9ae6d17c386312ad5e5902d852fb4e,LANG-786,"org.apache.commons.lang3.StringUtils","org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testEquals","org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testEquals --> junit.framework.AssertionFailedError"
15,Lang,e6a1d017b1aeca6986c5e8486c9f8ce6360872d4,c71d0f03dab384f98ef2c0ba0050822fba22a063,LANG-775,"org.apache.commons.lang3.reflect.TypeUtils","org.apache.commons.lang3.reflect.TypeUtilsTest::testGetTypeArguments;org.apache.commons.lang3.reflect.TypeUtilsTest::testIsAssignable","org.apache.commons.lang3.reflect.TypeUtilsTest::testGetTypeArguments --> junit.framework.AssertionFailedError: expected:<2> but was:<0>;org.apache.commons.lang3.reflect.TypeUtilsTest::testIsAssignable --> junit.framework.AssertionFailedError: type class org.apache.commons.lang3.reflect.TypeUtilsTest$Thing not assignable to org.apache.commons.lang3.reflect.TypeUtilsTest$This<java.lang.String, java.lang.String>!"
16,Lang,c98fbe27b2822e669461a061ee916e7ce5bf188f,41326bf5266ecc6472bab28481b77cecd6f7fb5c,LANG-746,"org.apache.commons.lang3.math.NumberUtils","org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumber","org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumber --> java.lang.NumberFormatException: 0Xfade is not a valid number."
17,Lang,8a3e8603455c6dbfc595ab7a7e4a32f171a8b245,2c1b5be146585dc8b27aedebca959f92da19094e,LANG-720,"org.apache.commons.lang3.text.translate.CharSequenceTranslator","org.apache.commons.lang3.StringEscapeUtilsTest::testLang720","org.apache.commons.lang3.StringEscapeUtilsTest::testLang720 --> junit.framework.ComparisonFailure: expected:<𠮷[A]> but was:<𠮷[?]>"
19,Lang,23a71e792bf4ff7263d196047c2f378e888ce04f,8914d7f617f78aae8c85405856283c98d4e43990,LANG-710,"org.apache.commons.lang3.text.translate.NumericEntityUnescaper","org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest::testUnfinishedEntity;org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest::testOutOfBounds","org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest::testUnfinishedEntity --> java.lang.StringIndexOutOfBoundsException: String index out of range: 19;org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest::testOutOfBounds --> java.lang.StringIndexOutOfBoundsException: String index out of range: 7"
20,Lang,f5cb67acd964ee173967081205eb30c43ba585c3,a80f11cf9d02d2517c7f230f24949cbebaafc0c2,LANG-703,"org.apache.commons.lang3.StringUtils","org.apache.commons.lang3.StringUtilsTest::testJoin_ArrayChar;org.apache.commons.lang3.StringUtilsTest::testJoin_Objectarray","org.apache.commons.lang3.StringUtilsTest::testJoin_ArrayChar --> java.lang.NullPointerException;org.apache.commons.lang3.StringUtilsTest::testJoin_Objectarray --> java.lang.NullPointerException"
21,Lang,a655a3fafbc535b09fa0596635d2c87cf48c428e,3e5d5dc9c0a5047152eedb802bc008ce78b8de0c,LANG-677,"org.apache.commons.lang3.time.DateUtils","org.apache.commons.lang3.time.DateUtilsTest::testIsSameLocalTime_Cal","org.apache.commons.lang3.time.DateUtilsTest::testIsSameLocalTime_Cal --> junit.framework.AssertionFailedError: LANG-677"
