bug_id,classes_modified
2,"org.apache.commons.math3.distribution.HypergeometricDistribution"
3,"org.apache.commons.math3.util.MathArrays"
4,"org.apache.commons.math3.geometry.euclidean.threed.SubLine;org.apache.commons.math3.geometry.euclidean.twod.SubLine"
5,"org.apache.commons.math3.complex.Complex"
6,"org.apache.commons.math3.optim.BaseOptimizer;org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizer;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizer;org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizer;org.apache.commons.math3.optim.nonlinear.vector.jacobian.GaussNewtonOptimizer;org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizer"
7,"org.apache.commons.math3.ode.AbstractIntegrator"
8,"org.apache.commons.math3.distribution.DiscreteDistribution"
9,"org.apache.commons.math3.geometry.euclidean.threed.Line"
10,"org.apache.commons.math3.analysis.differentiation.DSCompiler"
11,"org.apache.commons.math3.distribution.MultivariateNormalDistribution"
12,"org.apache.commons.math3.random.BitsStreamGenerator"
13,"org.apache.commons.math3.optimization.general.AbstractLeastSquaresOptimizer"
14,"org.apache.commons.math3.optim.nonlinear.vector.jacobian.AbstractLeastSquaresOptimizer;org.apache.commons.math3.optim.nonlinear.vector.Weight"
15,"org.apache.commons.math3.util.FastMath"
16,"org.apache.commons.math3.util.FastMath"
17,"org.apache.commons.math3.dfp.Dfp"
18,"org.apache.commons.math3.optimization.direct.CMAESOptimizer"
19,"org.apache.commons.math3.optimization.direct.CMAESOptimizer"
20,"org.apache.commons.math3.optimization.direct.CMAESOptimizer"
21,"org.apache.commons.math3.linear.RectangularCholeskyDecomposition"
22,"org.apache.commons.math3.distribution.FDistribution;org.apache.commons.math3.distribution.UniformRealDistribution"
23,"org.apache.commons.math3.optimization.univariate.BrentOptimizer"
24,"org.apache.commons.math3.optimization.univariate.BrentOptimizer"
25,"org.apache.commons.math3.optimization.fitting.HarmonicFitter"
26,"org.apache.commons.math3.fraction.Fraction"
27,"org.apache.commons.math3.fraction.Fraction"
28,"org.apache.commons.math3.optimization.linear.SimplexSolver"
29,"org.apache.commons.math3.linear.OpenMapRealVector"
30,"org.apache.commons.math3.stat.inference.MannWhitneyUTest"
31,"org.apache.commons.math3.util.ContinuedFraction"
