bug_id,classes_modified
2,"org.mockito.internal.util.Timer"
3,"org.mockito.internal.invocation.InvocationMatcher"
4,"org.mockito.exceptions.Reporter"
5,"org.mockito.internal.verification.VerificationOverTimeImpl"
6,"org.mockito.Matchers"
7,"org.mockito.internal.util.reflection.GenericMetadataSupport"
8,"org.mockito.internal.util.reflection.GenericMetadataSupport"
9,"org.mockito.internal.stubbing.answers.CallsRealMethods"
10,"org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs"
11,"org.mockito.internal.creation.DelegatingMethod"
12,"org.mockito.internal.util.reflection.GenericMaster"
13,"org.mockito.internal.MockHandler"
14,"org.mockito.internal.MockHandler;org.mockito.internal.MockitoCore"
15,"org.mockito.internal.configuration.injection.FinalMockCandidateFilter"
16,"org.mockito.internal.MockitoCore;org.mockito.Mockito"
17,"org.mockito.internal.creation.MockSettingsImpl;org.mockito.internal.util.MockUtil"
18,"org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues"
19,"org.mockito.internal.configuration.injection.filter.FinalMockCandidateFilter;org.mockito.internal.configuration.injection.filter.MockCandidateFilter;org.mockito.internal.configuration.injection.filter.NameBasedCandidateFilter;org.mockito.internal.configuration.injection.filter.TypeBasedCandidateFilter;org.mockito.internal.configuration.injection.PropertyAndSetterInjection"
20,"org.mockito.internal.creation.bytebuddy.ByteBuddyMockMaker"
21,"org.mockito.internal.creation.instance.ConstructorInstantiator"
22,"org.mockito.internal.matchers.Equality"
23,"org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs"
24,"org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues"
25,"org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs"
26,"org.mockito.internal.util.Primitives"
27,"org.mockito.internal.util.MockUtil"
28,"org.mockito.internal.configuration.DefaultInjectionEngine"
29,"org.mockito.internal.matchers.Same"
30,"org.mockito.exceptions.Reporter;org.mockito.internal.stubbing.defaultanswers.ReturnsSmartNulls"
31,"org.mockito.internal.stubbing.defaultanswers.ReturnsSmartNulls"
32,"org.mockito.internal.configuration.SpyAnnotationEngine"
33,"org.mockito.internal.invocation.InvocationMatcher"
34,"org.mockito.internal.invocation.InvocationMatcher"
35,"org.mockito.Matchers"
36,"org.mockito.internal.invocation.Invocation"
37,"org.mockito.internal.stubbing.answers.AnswersValidator"
38,"org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool"
