project,bug_id,method,tool,tool_version,target_class,trigger_test,seed,search_budget,criterion,algorithm,jacoco_mode,generated_test_count,generation_time,test_compile_time,test_execution_time,total_time,compile_status,test_status,line_coverage_percent,branch_coverage_percent,evosuite_line_percent,evosuite_branch_percent,tests_run_fixed,tests_failed_fixed,tests_run_buggy,tests_failed_buggy,failing_tests_buggy,fault_detected,timeout,error_type,error_message,result_path,log_path
Lang,1,SBST,EvoSuite,1.2.0,org.apache.commons.lang3.math.NumberUtils,org.apache.commons.lang3.math.NumberUtilsTest::TestLang747,1,60,LINE:BRANCH:EXCEPTION,default,offline,115,82.2,0.7,1.5,89.2,SUCCESS,SUCCESS,88.95,79.43,94.0,82.0,115,0,115,0,,False,False,,,EvoSuite/Result_Round1/Lang_1/budget60_seed1,EvoSuite/Result_Round1/Lang_1/budget60_seed1/run.log
Lang,1,SBST,EvoSuite,1.2.0,org.apache.commons.lang3.math.NumberUtils,org.apache.commons.lang3.math.NumberUtilsTest::TestLang747,1,120,LINE:BRANCH:EXCEPTION,default,offline,120,144.3,0.8,1.6,152.0,SUCCESS,SUCCESS,92.37,84.29,96.0,85.0,120,0,120,0,,False,False,,,EvoSuite/Result_Round2/Lang_1/budget120_seed1,EvoSuite/Result_Round2/Lang_1/budget120_seed1/run.log
Lang,3,SBST,EvoSuite,1.2.0,org.apache.commons.lang3.math.NumberUtils,org.apache.commons.lang3.math.NumberUtilsTest::testStringCreateNumberEnsureNoPrecisionLoss,1,60,LINE:BRANCH:EXCEPTION,default,offline,119,83.1,0.7,1.6,90.4,SUCCESS,SUCCESS,89.6,82.84,95.0,85.0,119,0,119,0,,False,False,,,EvoSuite/Result_Round1/Lang_3/budget60_seed1,EvoSuite/Result_Round1/Lang_3/budget60_seed1/run.log
Lang,4,SBST,EvoSuite,1.2.0,org.apache.commons.lang3.text.translate.LookupTranslator,org.apache.commons.lang3.text.translate.LookupTranslatorTest::testLang882,1,60,LINE:BRANCH:EXCEPTION,default,offline,8,7.4,0.6,1.2,32.6,SUCCESS,SUCCESS,100.0,100.0,100.0,100.0,8,0,8,1,test1(org.apache.commons.lang3.text.translate.LookupTranslator_ESTest),True,False,,,EvoSuite/Result_Round1/Lang_4/budget60_seed1,EvoSuite/Result_Round1/Lang_4/budget60_seed1/run.log
Lang,5,SBST,EvoSuite,1.2.0,org.apache.commons.lang3.LocaleUtils,org.apache.commons.lang3.LocaleUtilsTest::testLang865,1,60,LINE:BRANCH:EXCEPTION,default,offline,27,69.1,0.6,1.3,95.9,SUCCESS,SUCCESS,94.51,87.14,80.0,78.0,27,0,27,1,test19(org.apache.commons.lang3.LocaleUtils_ESTest),True,False,,,EvoSuite/Result_Round1/Lang_5/budget60_seed1,EvoSuite/Result_Round1/Lang_5/budget60_seed1/run.log
Lang,6,SBST,EvoSuite,1.2.0,org.apache.commons.lang3.text.translate.CharSequenceTranslator,org.apache.commons.lang3.StringUtilsTest::testEscapeSurrogatePairs,1,60,LINE:BRANCH:EXCEPTION,default,offline,13,70.5,0.6,1.3,96.6,SUCCESS,SUCCESS,93.33,100.0,93.0,100.0,13,0,13,0,,False,False,,,EvoSuite/Result_Round1/Lang_6/budget60_seed1,EvoSuite/Result_Round1/Lang_6/budget60_seed1/run.log
Lang,7,SBST,EvoSuite,1.2.0,org.apache.commons.lang3.math.NumberUtils,org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumber,1,60,LINE:BRANCH:EXCEPTION,default,offline,129,84.1,0.7,1.6,109.7,SUCCESS,SUCCESS,88.68,81.42,94.0,84.0,129,0,129,1,test087(org.apache.commons.lang3.math.NumberUtils_ESTest),True,False,,,EvoSuite/Result_Round1/Lang_7/budget60_seed1,EvoSuite/Result_Round1/Lang_7/budget60_seed1/run.log
Lang,8,SBST,EvoSuite,1.2.0,org.apache.commons.lang3.time.FastDatePrinter,org.apache.commons.lang3.time.FastDateFormat_PrinterTest::testCalendarTimezoneRespected;org.apache.commons.lang3.time.FastDatePrinterTest::testCalendarTimezoneRespected,1,60,LINE:BRANCH:EXCEPTION,default,offline,0,66.3,,,,,TOOL_ERROR,,,,,,,,,,False,False,TOOL_ERROR,EvoSuite produced no test files,EvoSuite/Result_Round1/Lang_8/budget60_seed1,EvoSuite/Result_Round1/Lang_8/budget60_seed1/run.log
Lang,9,SBST,EvoSuite,1.2.0,org.apache.commons.lang3.time.FastDateParser,org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLANG_832;org.apache.commons.lang3.time.FastDateParserTest::testLANG_832,1,60,LINE:BRANCH:EXCEPTION,default,offline,51,77.3,0.7,2.2,103.5,SUCCESS,SUCCESS,90.22,81.44,77.0,75.0,51,0,51,23,test33(org.apache.commons.lang3.time.FastDateParser_ESTest);test31(org.apache.commons.lang3.time.FastDateParser_ESTest);test32(org.apache.commons.lang3.time.FastDateParser_ESTest);test28(org.apache.commons.lang3.time.FastDateParser_ESTest);test23(org.apache.commons.lang3.time.FastDateParser_ESTest),True,False,,,EvoSuite/Result_Round1/Lang_9/budget60_seed1,EvoSuite/Result_Round1/Lang_9/budget60_seed1/run.log
Lang,10,SBST,EvoSuite,1.2.0,org.apache.commons.lang3.time.FastDateParser,org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLANG_831;org.apache.commons.lang3.time.FastDateParserTest::testLANG_831,1,60,LINE:BRANCH:EXCEPTION,default,offline,45,76.1,0.7,2.3,102.6,SUCCESS,SUCCESS,93.41,91.58,81.0,78.0,45,0,45,1,test35(org.apache.commons.lang3.time.FastDateParser_ESTest),True,False,,,EvoSuite/Result_Round1/Lang_10/budget60_seed1,EvoSuite/Result_Round1/Lang_10/budget60_seed1/run.log
Lang,11,SBST,EvoSuite,1.2.0,org.apache.commons.lang3.RandomStringUtils,org.apache.commons.lang3.RandomStringUtilsTest::testLANG807,1,60,LINE:BRANCH:EXCEPTION,default,offline,32,97.1,0.6,1.3,122.7,SUCCESS,SUCCESS,79.31,91.07,91.0,95.0,32,0,32,2,test25(org.apache.commons.lang3.RandomStringUtils_ESTest);test14(org.apache.commons.lang3.RandomStringUtils_ESTest),True,False,,,EvoSuite/Result_Round1/Lang_11/budget60_seed1,EvoSuite/Result_Round1/Lang_11/budget60_seed1/run.log
Lang,12,SBST,EvoSuite,1.2.0,org.apache.commons.lang3.RandomStringUtils,org.apache.commons.lang3.RandomStringUtilsTest::testExceptions;org.apache.commons.lang3.RandomStringUtilsTest::testLANG805,1,60,LINE:BRANCH:EXCEPTION,default,offline,34,107.7,0.7,1.4,134.6,SUCCESS,SUCCESS,75.0,88.89,89.0,94.0,34,0,34,3,test25(org.apache.commons.lang3.RandomStringUtils_ESTest);test06(org.apache.commons.lang3.RandomStringUtils_ESTest);test28(org.apache.commons.lang3.RandomStringUtils_ESTest),True,False,,,EvoSuite/Result_Round1/Lang_12/budget60_seed1,EvoSuite/Result_Round1/Lang_12/budget60_seed1/run.log
Lang,13,SBST,EvoSuite,1.2.0,org.apache.commons.lang3.SerializationUtils,org.apache.commons.lang3.SerializationUtilsTest::testPrimitiveTypeClassSerialization,1,60,LINE:BRANCH:EXCEPTION,default,offline,12,98.1,0.6,1.0,123.8,SUCCESS,SUCCESS,80.39,92.86,76.0,68.0,12,0,12,0,,False,False,,,EvoSuite/Result_Round1/Lang_13/budget60_seed1,EvoSuite/Result_Round1/Lang_13/budget60_seed1/run.log
Lang,14,SBST,EvoSuite,1.2.0,org.apache.commons.lang3.StringUtils,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testEquals,1,60,LINE:BRANCH:EXCEPTION,default,offline,427,159.6,0.9,2.6,185.7,SUCCESS,SUCCESS,93.83,90.48,94.0,91.0,427,0,427,0,,False,False,,,EvoSuite/Result_Round1/Lang_14/budget60_seed1,EvoSuite/Result_Round1/Lang_14/budget60_seed1/run.log
Lang,15,SBST,EvoSuite,1.2.0,org.apache.commons.lang3.reflect.TypeUtils,org.apache.commons.lang3.reflect.TypeUtilsTest::testGetTypeArguments;org.apache.commons.lang3.reflect.TypeUtilsTest::testIsAssignable,1,60,LINE:BRANCH:EXCEPTION,default,offline,35,72.8,0.7,1.9,98.7,SUCCESS,SUCCESS,39.13,35.11,40.0,35.0,35,0,35,0,,False,False,,,EvoSuite/Result_Round1/Lang_15/budget60_seed1,EvoSuite/Result_Round1/Lang_15/budget60_seed1/run.log
Lang,16,SBST,EvoSuite,1.2.0,org.apache.commons.lang3.math.NumberUtils,org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumber,1,60,LINE:BRANCH:EXCEPTION,default,offline,128,83.9,0.7,1.7,110.8,SUCCESS,SUCCESS,88.0,79.83,94.0,83.0,128,0,128,2,test103(org.apache.commons.lang3.math.NumberUtils_ESTest);test104(org.apache.commons.lang3.math.NumberUtils_ESTest),True,False,,,EvoSuite/Result_Round1/Lang_16/budget60_seed1,EvoSuite/Result_Round1/Lang_16/budget60_seed1/run.log
Lang,17,SBST,EvoSuite,1.2.0,org.apache.commons.lang3.text.translate.CharSequenceTranslator,org.apache.commons.lang3.StringEscapeUtilsTest::testLang720,1,60,LINE:BRANCH:EXCEPTION,default,offline,13,70.4,0.7,1.3,96.2,SUCCESS,SUCCESS,93.33,100.0,93.0,100.0,13,0,13,0,,False,False,,,EvoSuite/Result_Round1/Lang_17/budget60_seed1,EvoSuite/Result_Round1/Lang_17/budget60_seed1/run.log
Lang,19,SBST,EvoSuite,1.2.0,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest::testUnfinishedEntity;org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest::testOutOfBounds,1,60,LINE:BRANCH:EXCEPTION,default,offline,5,65.7,0.6,1.2,90.0,SUCCESS,SUCCESS,12.5,13.16,12.0,15.0,5,0,5,0,,False,False,,,EvoSuite/Result_Round1/Lang_19/budget60_seed1,EvoSuite/Result_Round1/Lang_19/budget60_seed1/run.log
